Unnamed: 0,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,Predicted_Rating
558,233419,5824,21,4794,19,113,79,86,551,483,34,6,2018,0,1.0,3.0,4.0,2,0,0,21,21.0,2018-07-01,19,23,8,14,35,35,35,40,38,38,38,40,38,38,38,36,32,32,32,36,32,31,31,31,32,29,25,25,25,29,76.0,75.0,45.0,73.0,69.0,81.0,77.0,74.0,62.0,80.0,88.0,86.0,86.0,79.0,82.0,80.0,70.0,87.0,65.0,74.0,74.0,52.0,79.0,73.0,68.0,81.0,45.0,41.0,27.0,8.0,7.0,13.0,8.0,14.0,367,351.25
565,230251,4890,30,4265,19,113,79,79,46,213,117,14,2099,1,1.0,3.0,2.0,8,1,0,8,14.0,2018-01-01,19,22,11,34,34,34,34,31,33,33,33,31,33,33,33,28,34,34,34,28,41,47,47,47,41,43,51,51,51,43,52.0,68.0,83.0,78.0,67.0,72.0,64.0,68.0,72.0,74.0,62.0,78.0,67.0,75.0,69.0,75.0,71.0,87.0,82.0,70.0,84.0,72.0,67.0,72.0,72.0,76.0,82.0,84.0,77.0,15.0,7.0,16.0,9.0,8.0,124,135.26
567,230201,4840,34,4249,19,113,79,79,62,78,65,33,1953,1,1.0,3.0,3.0,2,1,0,16,2.0,2018-01-01,19,22,0,21,25,25,25,33,29,29,29,33,30,30,30,31,32,32,32,31,45,45,45,45,45,46,45,45,45,46,81.0,48.0,69.0,73.0,49.0,78.0,55.0,49.0,75.0,77.0,83.0,76.0,82.0,81.0,75.0,52.0,51.0,85.0,62.0,56.0,62.0,77.0,57.0,61.0,41.0,54.0,79.0,78.0,76.0,15.0,13.0,12.0,10.0,15.0,542,155.51
573,226161,4863,23,3729,126,103,79,87,469,487,30,3,1869,1,1.0,3.0,3.0,8,0,1,2,18.0,2014-11-28,19,22,9,19,22,22,22,27,27,27,27,27,31,31,31,26,35,35,35,26,39,47,47,47,39,40,45,45,45,40,56.0,39.0,61.0,84.0,44.0,68.0,45.0,51.0,81.0,78.0,61.0,59.0,58.0,74.0,66.0,58.0,66.0,75.0,72.0,56.0,65.0,80.0,65.0,76.0,53.0,76.0,76.0,79.0,72.0,13.0,6.0,6.0,11.0,15.0,351,314.8
574,225997,830,24,3707,124,102,79,81,195,49,25,13,1978,1,1.0,3.0,4.0,2,1,0,11,21.0,2018-01-01,19,24,0,16,36,36,36,39,38,38,38,39,38,38,38,35,31,31,31,35,28,30,30,30,28,26,26,26,26,26,70.0,74.0,65.0,75.0,68.0,81.0,63.0,65.0,69.0,80.0,85.0,81.0,78.0,79.0,81.0,70.0,72.0,77.0,72.0,71.0,74.0,32.0,80.0,75.0,63.0,76.0,54.0,34.0,33.0,15.0,11.0,13.0,6.0,12.0,319,297.81
579,224254,1125,22,3475,6,111,79,85,82,395,31,21,2030,1,1.0,3.0,3.0,2,1,0,23,7.0,2014-07-14,19,23,8,24,35,35,35,41,39,39,39,41,39,39,39,36,33,33,33,36,33,33,33,33,33,30,26,26,26,30,76.0,72.0,48.0,76.0,57.0,79.0,72.0,77.0,68.0,76.0,93.0,90.0,92.0,77.0,85.0,84.0,61.0,92.0,73.0,84.0,56.0,49.0,78.0,77.0,59.0,68.0,65.0,34.0,30.0,11.0,10.0,9.0,13.0,7.0,272,307.91
585,220018,417,24,2994,34,1,79,82,198,377,30,34,1987,1,1.0,3.0,3.0,2,1,0,0,4.0,2017-12-20,19,23,10,24,39,39,39,39,38,38,38,39,36,36,36,34,29,29,29,34,26,27,27,27,26,24,25,25,25,24,74.0,79.0,71.0,72.0,83.0,83.0,75.0,58.0,57.0,79.0,83.0,86.0,75.0,77.0,66.0,81.0,66.0,80.0,83.0,78.0,84.0,29.0,75.0,68.0,63.0,73.0,20.0,50.0,25.0,13.0,15.0,12.0,13.0,14.0,262,262.67
594,214947,3010,22,2667,73,10,79,84,7,337,22,20,2037,1,1.0,3.0,3.0,6,1,0,18,25.0,2016-07-13,19,24,10,29,28,28,28,32,31,31,31,32,32,32,32,30,34,34,34,30,43,47,47,47,43,44,50,50,50,44,69.0,40.0,71.0,78.0,45.0,74.0,62.0,60.0,74.0,76.0,76.0,85.0,68.0,76.0,66.0,78.0,77.0,83.0,83.0,71.0,85.0,79.0,63.0,72.0,40.0,72.0,79.0,80.0,71.0,11.0,13.0,8.0,14.0,10.0,248,251.13
597,213160,5808,24,2424,116,99,79,86,548,37,27,13,2056,1,1.0,3.0,4.0,0,0,0,9,8.0,2016-07-01,19,22,9,21,31,31,31,36,35,35,35,36,36,36,36,34,37,37,37,34,45,48,48,48,45,45,47,47,47,45,69.0,65.0,70.0,81.0,55.0,82.0,65.0,65.0,79.0,82.0,74.0,78.0,70.0,79.0,65.0,65.0,63.0,90.0,63.0,67.0,70.0,75.0,64.0,72.0,57.0,77.0,81.0,79.0,76.0,10.0,8.0,13.0,15.0,9.0,327,322.48
600,211267,5575,25,2209,6,111,79,81,461,53,25,19,1935,1,1.0,3.0,4.0,2,1,0,21,10.0,2018-01-22,19,22,8,20,33,33,33,39,37,37,37,39,37,37,37,35,30,30,30,35,29,27,27,27,29,27,20,20,20,27,71.0,72.0,61.0,68.0,60.0,86.0,68.0,73.0,66.0,80.0,91.0,89.0,89.0,75.0,88.0,68.0,60.0,91.0,53.0,70.0,63.0,38.0,70.0,76.0,67.0,75.0,28.0,37.0,38.0,7.0,6.0,7.0,11.0,8.0,213,296.21
602,210411,5262,23,2105,19,113,79,85,232,482,31,8,1963,1,1.0,3.0,4.0,8,0,0,21,25.0,2014-09-01,19,22,7,17,32,32,32,39,37,37,37,39,39,39,39,35,33,33,33,35,30,32,32,32,30,27,25,25,25,27,78.0,67.0,56.0,77.0,63.0,84.0,74.0,72.0,74.0,83.0,76.0,74.0,86.0,80.0,82.0,67.0,57.0,68.0,54.0,68.0,73.0,46.0,76.0,79.0,72.0,80.0,52.0,41.0,27.0,11.0,12.0,9.0,10.0,15.0,360,338.45
604,208920,4916,23,1977,100,92,79,84,89,440,22,52,1969,0,1.0,3.0,2.0,6,0,1,1,15.0,2017-06-30,19,23,1,21,25,25,25,28,26,26,26,28,28,28,28,26,30,30,30,26,42,46,46,46,42,44,49,49,49,44,63.0,45.0,74.0,77.0,52.0,67.0,62.0,59.0,73.0,73.0,75.0,74.0,68.0,79.0,69.0,63.0,86.0,73.0,75.0,56.0,72.0,78.0,53.0,65.0,48.0,72.0,79.0,81.0,80.0,10.0,7.0,7.0,16.0,10.0,263,257.23
607,207939,2390,28,1890,6,111,79,79,579,453,12,55,1995,1,1.0,3.0,3.0,6,0,1,9,19.0,2018-07-02,19,22,10,20,28,28,28,29,29,29,29,29,31,31,31,28,35,35,35,28,41,48,48,48,41,41,48,48,48,41,62.0,59.0,68.0,80.0,62.0,70.0,66.0,54.0,75.0,76.0,62.0,53.0,62.0,72.0,44.0,69.0,74.0,89.0,80.0,65.0,87.0,80.0,67.0,71.0,60.0,77.0,75.0,80.0,76.0,7.0,12.0,16.0,15.0,7.0,108,138.75
628,202201,3015,26,1435,100,92,79,80,211,32,18,22,1921,1,1.0,3.0,2.0,2,1,0,17,6.0,2016-01-09,19,23,11,24,25,25,25,26,26,26,26,26,27,27,27,23,31,31,31,23,39,46,46,46,39,42,49,49,49,42,60.0,46.0,73.0,68.0,49.0,60.0,45.0,36.0,80.0,66.0,68.0,69.0,65.0,78.0,61.0,72.0,68.0,72.0,78.0,77.0,78.0,84.0,61.0,71.0,42.0,74.0,80.0,82.0,76.0,13.0,7.0,16.0,13.0,7.0,175,165.9
630,201519,3391,25,1390,51,62,79,84,252,101,28,56,2101,1,1.0,3.0,3.0,6,1,0,2,17.0,2017-07-25,19,22,8,13,32,32,32,36,35,35,35,36,37,37,37,33,38,38,38,33,42,46,46,46,42,42,43,43,43,42,74.0,66.0,54.0,84.0,68.0,76.0,70.0,76.0,79.0,79.0,72.0,66.0,76.0,79.0,76.0,76.0,69.0,79.0,68.0,74.0,72.0,76.0,72.0,78.0,78.0,80.0,69.0,76.0,72.0,9.0,10.0,11.0,8.0,9.0,273,273.09
633,201505,1685,28,1389,126,103,79,79,458,549,12,27,1917,1,1.0,3.0,2.0,6,1,1,17,15.0,2016-08-26,19,24,9,27,29,29,29,27,28,28,28,27,29,29,29,24,31,31,31,24,38,46,46,46,38,40,49,49,49,40,53.0,65.0,74.0,79.0,56.0,64.0,48.0,46.0,64.0,76.0,57.0,59.0,51.0,72.0,55.0,77.0,74.0,75.0,84.0,64.0,78.0,80.0,59.0,68.0,50.0,67.0,77.0,82.0,76.0,9.0,12.0,7.0,11.0,15.0,189,168.38
635,201143,323,26,1370,2,147,79,82,468,546,21,20,1942,1,1.0,3.0,2.0,2,0,1,17,23.0,2016-07-01,19,22,9,24,24,24,24,28,26,26,26,28,28,28,28,26,31,31,31,26,42,46,46,46,42,44,50,50,50,44,78.0,41.0,84.0,78.0,36.0,64.0,67.0,49.0,73.0,73.0,65.0,66.0,77.0,76.0,65.0,52.0,82.0,69.0,74.0,49.0,69.0,80.0,67.0,68.0,35.0,74.0,78.0,79.0,84.0,15.0,16.0,9.0,10.0,14.0,261,178.81
640,199823,1217,25,1274,126,103,79,82,359,387,25,22,2065,1,1.0,3.0,3.0,8,1,1,2,24.0,2016-08-15,19,20,0,16,33,33,33,36,35,35,35,36,37,37,37,33,38,38,38,33,40,46,46,46,40,40,44,44,44,40,73.0,73.0,65.0,82.0,58.0,77.0,81.0,78.0,81.0,81.0,65.0,61.0,67.0,74.0,75.0,75.0,57.0,76.0,73.0,76.0,66.0,73.0,68.0,80.0,69.0,80.0,75.0,75.0,69.0,8.0,11.0,6.0,7.0,10.0,319,308.15
651,198031,6316,26,1109,113,96,79,82,232,482,25,10,2049,1,1.0,3.0,3.0,8,1,0,4,27.0,2015-07-01,19,22,1,18,33,33,33,36,35,35,35,36,37,37,37,32,37,37,37,32,37,43,43,43,37,35,39,39,39,35,76.0,67.0,64.0,81.0,73.0,77.0,73.0,80.0,79.0,80.0,62.0,56.0,66.0,74.0,67.0,87.0,56.0,74.0,65.0,87.0,70.0,72.0,72.0,81.0,74.0,76.0,71.0,69.0,46.0,9.0,9.0,11.0,11.0,10.0,309,295.52
653,196978,1199,26,1082,45,38,79,81,89,440,25,64,1902,1,1.0,3.0,4.0,2,1,1,25,13.0,2014-07-04,19,23,1,12,38,38,38,37,38,38,38,37,35,35,35,31,28,28,28,31,24,26,26,26,24,23,24,24,24,23,52.0,83.0,73.0,71.0,69.0,74.0,63.0,45.0,60.0,77.0,87.0,89.0,74.0,74.0,74.0,76.0,65.0,72.0,75.0,66.0,73.0,40.0,82.0,71.0,75.0,78.0,29.0,39.0,25.0,10.0,15.0,8.0,10.0,6.0,294,228.01
655,194761,864,27,1039,126,103,79,79,272,86,21,30,2011,1,1.0,3.0,3.0,2,1,1,11,10.0,2015-08-26,19,23,8,18,34,34,34,39,38,38,38,39,39,39,39,35,37,37,37,35,36,39,39,39,36,36,35,35,35,36,70.0,77.0,53.0,82.0,59.0,80.0,67.0,54.0,80.0,81.0,81.0,77.0,75.0,72.0,77.0,67.0,72.0,67.0,67.0,78.0,52.0,66.0,77.0,79.0,62.0,61.0,45.0,72.0,59.0,9.0,13.0,13.0,12.0,16.0,249,232.92
658,193171,3446,30,946,126,103,79,79,618,566,123,29,2028,0,1.0,3.0,3.0,0,1,1,6,11.0,2010-07-01,19,22,6,8,28,28,28,32,30,30,30,32,30,30,30,30,30,30,30,30,44,45,45,45,44,45,47,47,47,45,80.0,53.0,68.0,79.0,38.0,69.0,67.0,59.0,65.0,78.0,79.0,81.0,76.0,69.0,78.0,75.0,73.0,78.0,63.0,62.0,85.0,80.0,66.0,57.0,56.0,69.0,76.0,78.0,79.0,10.0,11.0,16.0,10.0,14.0,130,147.38
668,189682,755,28,748,45,38,79,79,100,356,12,55,1799,0,1.0,3.0,2.0,6,1,1,7,6.0,2012-01-17,19,3,9,28,16,16,16,19,17,17,17,19,18,18,18,18,22,22,22,18,38,42,42,42,38,40,50,50,50,40,63.0,30.0,79.0,63.0,29.0,63.0,45.0,31.0,61.0,65.0,62.0,63.0,63.0,75.0,70.0,60.0,93.0,70.0,82.0,39.0,82.0,79.0,38.0,60.0,36.0,74.0,79.0,81.0,80.0,15.0,7.0,12.0,10.0,14.0,152,151.76
683,184949,4865,32,543,19,113,79,79,264,519,109,54,2106,1,1.0,3.0,3.0,8,0,0,16,2.0,2017-07-17,19,20,0,15,32,32,32,37,35,35,35,37,35,35,35,35,35,35,35,35,45,45,45,45,45,45,44,44,44,45,83.0,54.0,59.0,76.0,58.0,75.0,82.0,56.0,75.0,82.0,87.0,79.0,74.0,77.0,73.0,84.0,70.0,92.0,70.0,68.0,76.0,72.0,74.0,69.0,61.0,70.0,71.0,72.0,81.0,10.0,12.0,12.0,9.0,13.0,50,166.07
688,183892,2368,31,496,6,111,79,79,529,565,110,12,1988,1,1.0,3.0,2.0,8,2,1,17,2.0,2016-08-09,19,3,1,29,28,28,28,27,26,26,26,27,26,26,26,24,27,27,27,24,41,44,44,44,41,43,49,49,49,43,68.0,60.0,76.0,71.0,66.0,57.0,68.0,54.0,65.0,70.0,75.0,75.0,66.0,72.0,60.0,68.0,76.0,77.0,82.0,58.0,81.0,80.0,63.0,60.0,49.0,73.0,77.0,80.0,78.0,12.0,16.0,10.0,12.0,6.0,114,126.29
698,177633,6954,31,316,126,103,79,79,268,389,13,26,1854,1,1.0,3.0,3.0,2,0,0,25,9.0,2017-07-06,19,20,7,14,38,38,38,37,38,38,38,37,35,35,35,30,26,26,26,30,21,22,22,22,21,19,19,19,19,19,56.0,79.0,74.0,73.0,78.0,80.0,49.0,50.0,49.0,81.0,74.0,74.0,79.0,80.0,76.0,81.0,76.0,66.0,64.0,80.0,62.0,26.0,79.0,62.0,69.0,70.0,42.0,23.0,20.0,6.0,13.0,8.0,14.0,11.0,212,171.1
709,164029,1243,34,96,19,113,79,79,494,557,96,26,1895,1,1.0,3.0,4.0,0,1,0,12,19.0,2017-07-04,19,3,0,21,39,39,39,35,36,36,36,35,33,33,33,27,25,25,25,27,18,22,22,22,18,17,22,22,22,17,51.0,80.0,79.0,69.0,84.0,79.0,78.0,53.0,52.0,82.0,64.0,59.0,86.0,80.0,69.0,83.0,93.0,63.0,71.0,78.0,66.0,18.0,83.0,55.0,70.0,78.0,35.0,35.0,27.0,8.0,9.0,16.0,9.0,11.0,54,104.29
726,242348,4178,24,6264,126,103,78,83,468,546,24,19,1722,1,1.0,3.0,3.0,8,0,0,22,16.0,2015-01-29,19,23,11,28,37,37,37,33,36,36,36,33,33,33,33,26,22,22,22,26,14,16,16,16,14,13,15,15,15,13,36.0,86.0,76.0,74.0,73.0,79.0,60.0,53.0,35.0,81.0,63.0,66.0,60.0,78.0,57.0,78.0,68.0,60.0,61.0,80.0,38.0,11.0,75.0,60.0,77.0,70.0,55.0,12.0,16.0,7.0,13.0,13.0,15.0,6.0,293,248.7
733,232244,5897,21,4576,6,111,78,84,611,527,18,18,1890,1,1.0,3.0,3.0,6,1,0,2,15.0,2017-08-22,19,24,5,16,15,15,15,22,20,20,20,22,24,24,24,21,29,29,29,21,41,47,47,47,41,42,47,47,47,42,51.0,39.0,55.0,80.0,47.0,64.0,47.0,41.0,71.0,65.0,75.0,65.0,78.0,74.0,87.0,53.0,82.0,92.0,61.0,67.0,90.0,85.0,31.0,60.0,48.0,67.0,81.0,80.0,77.0,6.0,10.0,5.0,14.0,9.0,191,212.01
737,230431,6295,26,4319,19,113,78,78,316,80,123,21,2012,1,1.0,3.0,2.0,0,1,0,2,17.0,2018-01-01,19,22,11,31,27,27,27,30,29,29,29,30,30,30,30,28,32,32,32,28,42,46,46,46,42,42,47,47,47,42,71.0,56.0,62.0,75.0,45.0,72.0,81.0,77.0,77.0,71.0,72.0,72.0,51.0,81.0,55.0,73.0,61.0,76.0,88.0,72.0,77.0,76.0,52.0,72.0,67.0,67.0,80.0,76.0,76.0,11.0,15.0,8.0,7.0,7.0,109,93.98
738,230360,1938,30,4298,19,113,78,78,278,333,103,23,2075,1,1.0,3.0,4.0,8,1,0,16,16.0,2018-01-01,19,22,8,21,33,33,33,37,35,35,35,37,34,34,34,33,32,32,32,33,44,43,43,43,44,44,44,44,44,44,76.0,69.0,60.0,76.0,71.0,76.0,76.0,68.0,59.0,75.0,84.0,76.0,79.0,80.0,70.0,72.0,61.0,88.0,68.0,74.0,73.0,72.0,76.0,64.0,64.0,80.0,78.0,75.0,77.0,7.0,8.0,8.0,8.0,7.0,52,88.58
741,230020,5352,25,4222,51,62,78,80,411,630,16,28,2031,1,1.0,3.0,4.0,0,0,0,18,8.0,2017-06-16,19,22,10,15,33,33,33,38,36,36,36,38,37,37,37,35,37,37,37,35,40,43,43,43,40,40,40,40,40,40,78.0,70.0,59.0,79.0,53.0,79.0,74.0,69.0,79.0,79.0,74.0,74.0,75.0,75.0,59.0,70.0,61.0,86.0,71.0,70.0,71.0,66.0,77.0,78.0,53.0,76.0,70.0,68.0,63.0,14.0,6.0,12.0,9.0,10.0,214,198.23
742,229984,681,21,4215,45,38,78,85,358,669,16,39,1976,0,1.0,3.0,3.0,0,1,1,6,19.0,2015-08-26,19,25,0,23,27,27,27,32,30,30,30,32,30,30,30,31,31,31,31,31,44,43,43,43,44,44,45,45,45,44,76.0,43.0,64.0,73.0,42.0,76.0,67.0,64.0,68.0,77.0,81.0,82.0,70.0,75.0,71.0,69.0,77.0,84.0,68.0,38.0,68.0,74.0,74.0,66.0,52.0,68.0,74.0,76.0,79.0,10.0,7.0,14.0,7.0,10.0,238,240.57
743,229406,3522,24,4112,113,96,78,81,487,407,21,8,2017,1,1.0,3.0,4.0,2,1,0,0,17.0,2018-07-01,19,24,9,23,33,33,33,38,37,37,37,38,37,37,37,35,35,35,35,35,34,35,35,35,34,32,27,27,27,32,78.0,72.0,45.0,78.0,67.0,78.0,78.0,83.0,76.0,77.0,79.0,70.0,75.0,77.0,76.0,84.0,65.0,88.0,68.0,81.0,49.0,50.0,76.0,78.0,75.0,76.0,43.0,57.0,48.0,5.0,12.0,8.0,11.0,10.0,260,225.08
747,227476,6300,27,3834,19,113,78,79,232,482,18,10,1925,1,1.0,3.0,3.0,0,1,0,12,29.0,2017-01-23,19,22,11,28,38,38,38,35,36,36,36,35,33,33,33,29,26,26,26,29,27,29,29,29,27,26,31,31,31,26,52.0,76.0,77.0,68.0,73.0,75.0,69.0,40.0,54.0,77.0,79.0,86.0,71.0,78.0,65.0,77.0,78.0,76.0,78.0,68.0,90.0,40.0,84.0,58.0,68.0,79.0,50.0,45.0,35.0,8.0,9.0,7.0,7.0,7.0,215,159.2
753,225309,4923,21,3617,55,76,78,85,573,27,22,21,1973,1,1.0,3.0,4.0,8,1,0,0,18.0,2014-08-01,19,20,1,19,30,30,30,37,35,35,35,37,37,37,37,34,35,35,35,34,35,37,37,37,35,32,30,30,30,32,73.0,65.0,43.0,79.0,65.0,85.0,76.0,71.0,73.0,81.0,77.0,68.0,79.0,75.0,76.0,70.0,66.0,77.0,66.0,70.0,48.0,62.0,69.0,78.0,65.0,69.0,53.0,57.0,46.0,12.0,12.0,14.0,12.0,10.0,251,266.15
754,225161,6672,21,3598,126,103,78,86,469,487,19,67,1738,1,1.0,3.0,2.0,3,0,1,1,3.0,2015-07-31,19,22,9,25,17,17,17,17,16,16,16,17,17,17,17,16,22,22,22,16,37,43,43,43,37,40,48,48,48,40,41.0,44.0,74.0,76.0,36.0,56.0,29.0,31.0,75.0,67.0,67.0,74.0,69.0,77.0,69.0,49.0,77.0,66.0,69.0,31.0,74.0,82.0,32.0,33.0,45.0,76.0,79.0,78.0,81.0,10.0,13.0,15.0,13.0,6.0,292,267.13
762,223689,6740,25,3392,100,92,78,80,615,345,21,44,1781,1,1.0,3.0,3.0,0,0,0,12,9.0,2018-07-01,19,23,15,30,37,37,37,29,33,33,33,29,30,30,30,25,24,24,24,25,20,24,24,24,20,19,24,24,24,19,42.0,81.0,84.0,70.0,67.0,64.0,40.0,37.0,48.0,76.0,53.0,69.0,64.0,79.0,44.0,80.0,79.0,84.0,86.0,62.0,73.0,34.0,82.0,62.0,73.0,78.0,37.0,23.0,26.0,11.0,9.0,14.0,16.0,12.0,199,209.55
765,222709,5497,29,3293,19,113,78,78,36,223,12,39,1994,1,1.0,3.0,4.0,6,0,0,9,6.0,2018-07-01,19,20,1,23,30,30,30,33,33,33,33,33,35,35,35,31,37,37,37,31,41,46,46,46,41,42,43,43,43,42,60.0,61.0,57.0,80.0,46.0,76.0,55.0,46.0,78.0,79.0,72.0,73.0,70.0,78.0,70.0,80.0,61.0,88.0,71.0,65.0,83.0,82.0,66.0,74.0,58.0,77.0,41.0,83.0,79.0,16.0,13.0,9.0,10.0,14.0,123,180.15
